Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Wyatt Johnston,DAL,C,49,14,18,32,2,24,110,1,1,3,2,0,29,23
Cole Perfetti,WPG,LW,47,14,16,30,12,8,103,2,5,6,0,0,9,13
Quinton Byfield,LA,C,45,14,20,34,14,18,90,3,4,7,0,0,14,11
Nils Hoglander,VAN,LW,47,14,6,20,13,35,62,3,0,0,0,0,39,15
Logan O'Connor,COL,C,47,13,11,24,17,30,72,4,0,0,3,0,36,34
Rasmus Dahlin,BUF,D,48,13,25,38,-12,30,140,1,4,9,0,0,90,91
Dawson Mercer,NJ,C,47,13,10,23,-13,10,84,1,3,1,0,0,15,31
Lucas Raymond,DET,RW,49,13,28,41,-12,16,91,3,2,9,0,0,34,15
Marco Rossi,MIN,C,49,13,15,28,4,37,92,2,1,2,0,0,7,24
Mason McTavish,ANH,C,42,13,17,30,-18,62,94,3,4,4,1,1,24,29
John Tavares,TOR,C,47,13,22,35,-2,10,174,4,5,6,0,0,52,25
Kyle Palmieri,NYI,RW,49,13,15,28,-15,20,122,2,6,8,0,0,39,27
Cam Atkinson,PHI,RW,49,13,15,28,-16,20,150,3,2,4,0,0,10,29
Vladimir Tarasenko,OTT,RW,43,13,19,32,13,12,87,4,2,4,0,0,35,18
Boone Jenner,CLS,LW,33,13,5,18,-8,12,91,0,3,1,0,0,50,43
Brandon Saad,STL,LW,47,13,8,21,-7,14,79,3,3,0,0,0,5,10
Colton Sissons,NSH,RW,49,13,12,25,-4,22,91,2,3,4,3,1,80,37
Oliver Bjorkstrand,SEA,RW,48,13,25,38,-6,2,129,2,6,9,0,0,33,9
Nick Paul,TB,LW,50,13,14,27,-18,17,100,2,6,5,0,0,45,25
Anders Lee,NYI,C,49,13,6,19,3,35,118,2,3,0,0,0,82,34
Sean Monahan,MON,C,49,13,22,35,-10,10,104,3,6,10,2,0,11,24
Mathew Barzal,NYI,C,48,13,38,51,2,28,145,3,4,14,0,0,18,24
Nick Schmaltz,ARI,RW,45,13,16,29,-12,6,95,3,7,6,0,0,3,27
Robby Fabbri,DET,LW,37,13,8,21,-5,10,47,3,2,3,0,0,17,16
Ivan Barbashev,VGK,LW,50,13,17,30,15,33,78,2,3,1,0,0,81,25
Eeli Tolvanen,SEA,LW,48,13,17,30,-3,12,95,1,0,6,0,0,98,52
Martin Necas,CAR,C,43,13,18,31,-12,28,115,2,4,5,0,0,37,17
Nick Suzuki,MON,C,49,13,29,42,-16,18,109,0,7,15,0,0,37,23
Nico Hischier,NJ,C,36,13,15,28,0,10,73,2,4,4,0,0,19,20
Jordan Kyrou,STL,RW,47,13,21,34,-6,14,153,0,1,8,0,0,12,21
Casey Mittelstadt,BUF,C,49,12,30,42,9,20,79,1,1,5,0,0,7,21
Cale Makar,COL,D,44,12,46,58,12,12,137,0,5,22,1,3,22,82
Josh Norris,OTT,C,38,12,11,23,-6,20,98,1,5,5,0,1,38,23
Dakota Joshua,VAN,LW,48,12,11,23,14,39,59,4,0,0,0,0,143,30
Kevin Fiala,LA,LW,46,12,30,42,-7,44,122,0,4,14,0,0,21,18
MacKenzie Weegar,CGY,D,49,12,17,29,9,32,121,1,1,5,0,2,84,118
Daniel Sprong,DET,RW,49,12,19,31,5,22,119,1,2,6,0,0,16,11
Jake DeBrusk,BOS,LW,47,12,13,25,13,12,100,2,2,5,2,0,42,26
Tom Wilson,WAS,RW,46,12,9,21,-12,86,114,2,3,1,1,0,125,38
Nino Niederreiter,WPG,RW,47,12,13,25,12,26,107,2,3,1,0,0,61,24
Gustav Nyquist,NSH,RW,49,12,25,37,5,6,98,3,3,10,1,1,18,26
Ryan Nugent-Hopkins,EDM,LW,45,12,32,44,10,24,110,2,3,14,0,2,24,19
Brayden Schenn,STL,C,47,12,14,26,-16,28,92,2,2,6,1,0,89,28
Yegor Chinakhov,CLS,RW,37,12,10,22,-4,6,73,2,1,1,0,0,29,20
Alexander Holtz,NJ,RW,47,12,11,23,-6,8,79,2,1,1,0,0,22,9
Alexis Lafreniere,NYR,LW,49,12,17,29,-10,14,126,3,2,2,0,0,31,11
Adam Fantilli,CLS,C,48,12,15,27,-21,16,115,1,1,2,0,0,45,24
Pius Suter,VAN,LW,35,12,6,18,12,8,59,2,2,1,0,0,19,10
Quinn Hughes,VAN,D,49,12,50,62,34,24,118,2,1,22,0,0,16,35
Thomas Harley,DAL,D,46,12,17,29,16,10,83,3,1,3,1,0,28,77
Simon Holmstrom,NYI,RW,48,12,6,18,-2,10,47,1,0,0,5,2,8,31
Dmitri Vornkov,FA,LW,42,11,13,24,4,31,70,0,3,1,0,0,40,27
Dmitri Voronkov,CLS,C,42,11,13,24,4,31,70,0,3,1,0,0,40,27
Andrei Svechnikov,CAR,RW,29,11,19,30,3,30,71,6,5,9,0,0,66,8
Evan Bouchard,EDM,D,45,11,32,43,11,16,121,4,5,15,0,0,33,61
Drew Doughty,LA,D,46,11,15,26,8,28,81,3,5,6,0,0,61,88
Bryan Rust,PIT,RW,33,11,16,27,15,8,99,1,0,1,0,0,25,23
Ryan Johansen,COL,C,49,11,7,18,-6,32,62,3,4,2,0,1,32,11
Stefan Noesen,CAR,C,47,11,16,27,9,24,62,1,3,4,0,0,55,14
Aleksander Barkov,FLA,C,43,11,37,48,18,18,124,2,1,16,0,1,42,32
J.T. Compher,DET,C,44,11,17,28,-1,28,57,0,4,3,1,0,21,27
Sam Bennett,FLA,LW,37,11,12,23,6,65,88,2,4,5,0,0,60,15
Gabriel Vilardi,WPG,C,27,11,9,20,17,6,71,3,2,1,0,0,6,13
Michael Rasmussen,DET,C,49,10,12,22,13,27,68,2,0,0,1,3,57,52
Ross Colton,COL,LW,47,10,16,26,2,45,87,1,2,2,0,0,64,26
Pierre-Luc Dubois,LA,C,46,10,10,20,-15,32,86,1,3,0,0,0,33,20
